duration,month,hour,day_of_week,user_type
2.2151609690000003,3,21,Wednesday,Subscriber
17.121475756000002,3,21,Wednesday,Subscriber
6.703900742000001,3,21,Wednesday,Subscriber
3.3041660820000005,3,21,Wednesday,Subscriber
6.030803947000001,3,21,Wednesday,Subscriber
6.399994664,3,20,Wednesday,Subscriber
7.2868124000000005,3,20,Wednesday,Subscriber
13.573171458000001,3,20,Wednesday,Subscriber
8.167980023,3,20,Wednesday,Subscriber
8.096145253000001,3,20,Wednesday,Subscriber
8.381584295000001,3,20,Wednesday,Subscriber
9.937165406,3,20,Wednesday,Subscriber
4.5498743290000006,3,20,Wednesday,Subscriber
19.809162842000003,3,20,Wednesday,Customer
17.283995673000003,3,20,Wednesday,Subscriber
54.178050206,3,20,Wednesday,Subscriber
2.8729907920000004,3,20,Wednesday,Subscriber
6.889537788000001,3,19,Wednesday,Subscriber
7.758088492000001,3,19,Wednesday,Subscriber
7.559817860000001,3,19,Wednesday,Subscriber
5.576844868,3,19,Wednesday,Subscriber
11.985656375000001,3,19,Wednesday,Subscriber
14.460655874000002,3,19,Wednesday,Customer
24.14681626,3,19,Wednesday,Subscriber
8.271082085000002,3,19,Wednesday,Subscriber
3.8695773900000003,3,19,Wednesday,Subscriber
54.191867149000004,3,19,Wednesday,Subscriber
15.647562945,3,19,Wednesday,Subscriber
10.090335136,3,19,Wednesday,Subscriber
18.759375180000003,3,19,Wednesday,Subscriber
6.903704738000001,3,19,Wednesday,Subscriber
14.075731509,3,18,Wednesday,Subscriber
4.7489116430000005,3,18,Wednesday,Subscriber
13.444285547000002,3,18,Wednesday,Subscriber
2.514300285,3,18,Wednesday,Subscriber
3.0830616600000003,3,18,Wednesday,Subscriber
11.394877893,3,18,Wednesday,Subscriber
85.39200780600001,3,18,Wednesday,Customer
55.348090273000004,3,18,Wednesday,Customer
22.796589256,3,18,Wednesday,Subscriber
17.981792962,3,18,Wednesday,Subscriber
3.944345552,3,18,Wednesday,Subscriber
5.449725659,3,18,Wednesday,Subscriber
16.597098602000003,3,18,Wednesday,Customer
13.104795424,3,18,Wednesday,Subscriber
20.392807848,3,18,Wednesday,Subscriber
6.738584769000001,3,18,Wednesday,Subscriber
12.478849572000001,3,18,Wednesday,Subscriber
26.944672216,3,18,Wednesday,Customer
6.435995384000001,3,18,Wednesday,Subscriber
7.625269169000001,3,18,Wednesday,Subscriber
5.521827101,3,18,Wednesday,Subscriber
23.045327564,3,18,Wednesday,Subscriber
8.955712444000001,3,18,Wednesday,Subscriber
44.666759984,3,18,Wednesday,Subscriber
9.301452692000002,3,18,Wednesday,Subscriber
8.780775612000001,3,18,Wednesday,Subscriber
5.251871702000001,3,18,Wednesday,Subscriber
16.281925632,3,18,Wednesday,Subscriber
4.719244383,3,18,Wednesday,Subscriber
10.285255701,3,18,Wednesday,Subscriber
14.472172771000002,3,18,Wednesday,Subscriber
2.57621819,3,18,Wednesday,Subscriber
